Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
Skinnar Per Tobias Arwidson,0,25.0,170.0,74.0,Sweden,SWE,0,2014,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit, 
Ahmed Fathi Abdulmunim Ahmed Ibrahim,0,27.0,174.0,76.0,Egypt,EGY,1,2012,London,Football,Football Men's Football, 
Philipp Boy,0,21.0,172.0,67.0,Germany,GER,1,2008,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar, 
Chedli El-Marghni Ben Ali,0,25.0,172.0,65.0,Tunisia,TUN,1,1964,Tokyo,Athletics,Athletics Men's 20 kilometres Walk, 
Julius Shareef Abdur-Rahim,0,23.0,202.0,104.0,United States,USA,1,2000,Sydney,Basketball,Basketball Men's Basketball,Gold
Francesco Dall'Olio,0,26.0,187.0,82.0,Italy,ITA,1,1980,Moskva,Volleyball,Volleyball Men's Volleyball, 
Olavi Kullervo Blomfjord,0,22.0,176.0,100.0,Sweden,SWE,1,1984,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight I, 
Lzaro Costa Mndez,0,23.0,188.0,76.0,Cuba,CUB,1,1980,Moskva,Water Polo,Water Polo Men's Water Polo, 
Carsten Bergemann,0,29.0,196.0,102.0,Germany,GER,1,2008,Beijing,Cycling,Cycling Men's Keirin, 
Tomasz Adamiec,0,30.0,171.0,69.5,Poland,POL,1,2012,London,Judo,Judo Men's Lightweight, 
"Idalina ""Daly"" Borges Mesquita",0,32.0,171.0,59.0,Brazil,BRA,1,2008,Beijing,Handball,Handball Women's Handball, 
"Giovanni ""Gianni"" Averaimo",0,24.0,183.0,84.0,Italy,ITA,1,1988,Seoul,Water Polo,Water Polo Men's Water Polo, 
Chioma Ajunwa (-Opara),0,24.0,164.0,57.0,Nigeria,NGR,1,1996,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay, 
Brendan Boyce,0,29.0,183.0,76.0,Ireland,IRL,1,2016,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk, 
Robert Andrew,0,30.0,188.0,74.0,Australia,AUS,1,1972,Munich,Hockey,Hockey Men's Hockey, 
Alejandro Francisco Casaas Ramrez,0,18.0,188.0,79.0,Cuba,CUB,1,1972,Munich,Athletics,Athletics Men's 110 metres Hurdles, 
Thorleif Steinar Andresen,0,27.0,180.0,75.0,Norway,NOR,1,1972,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial, 
Davor Dominikovi,0,26.0,203.0,100.0,Croatia,CRO,1,2004,Athina,Handball,Handball Men's Handball,Gold
Luisa Haydee Cervera Cevedon,0,20.0,173.0,70.0,Peru,PER,1,1984,Los Angeles,Volleyball,Volleyball Women's Volleyball, 
Gbor Lzsl Delneky,0,28.0,183.0,80.0,Hungary,HUN,1,1960,Roma,Fencing,"Fencing Men's Sabre, Team",Gold
"Matthew D. ""Matt"" Emmons",0,31.0,175.0,84.0,United States,USA,1,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres", 
Manuel Cortina Martnez,0,25.0,187.0,90.0,Mexico,MEX,1,2008,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres", 
Alain Ct,0,24.0,192.0,81.0,Canada,CAN,1,1988,Seoul,Fencing,"Fencing Men's epee, Team", 
Jerzy Dunajski,0,23.0,180.0,78.0,Poland,POL,1,1980,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres", 
"Patrick ""Pat"" Dwyer",0,22.0,186.0,81.0,Australia,AUS,1,2000,Sydney,Athletics,Athletics Men's 400 metres, 
Giovanni Bramucci,0,21.0,178.0,70.0,Italy,ITA,1,1968,Mexico City,Cycling,"Cycling Men's Road Race, Individual", 
E. Gladys Baldwin Lopez (-de Seminario-) ,0,31.0,167.0,67.0,Peru,PER,1,1968,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres", 
"James E. ""Jim"" Copeland",0,26.0,180.0,70.0,United States,USA,1,1988,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial, 
Marcus Baur,0,33.0,182.0,75.0,Germany,GER,1,2004,Athina,Sailing,Sailing Mixed Skiff, 
Karine Charlier,0,15.0,162.0,47.0,France,FRA,1,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise, 
Dan Cristea,0,27.0,173.0,65.0,Romania,ROU,0,1976,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom, 
Adel Mohamed Al-Jabrin,0,20.0,170.0,64.0,Saudi Arabia,KSA,1,1988,Seoul,Archery,Archery Men's Individual, 
Erika Ferraioli,0,30.0,180.0,65.0,Italy,ITA,1,2016,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle, 
"Madeleine ""Maddie"" Edmunds",0,24.0,187.0,81.0,Australia,AUS,1,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls, 
Pierre-Yves Bny,0,21.0,165.0,60.0,France,FRA,1,2004,Athina,Gymnastics,Gymnastics Men's Floor Exercise, 
Marin ili,0,27.0,198.0,82.0,Croatia,CRO,1,2016,Rio de Janeiro,Tennis,Tennis Men's Singles, 
Javier Fernndez Lpez,0,18.0,171.0,61.0,Spain,ESP,0,2010,Vancouver,Figure Skating,Figure Skating Men's Singles, 
Mavlet Alavdinovich Batyrov,0,24.0,160.0,60.0,Russia,RUS,1,2008,Beijing,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Bo Ragnar Ericsson,0,26.0,179.0,78.0,Sweden,SWE,0,1984,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Giustina Demetz,0,26.0,163.0,55.0,Italy,ITA,0,1968,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom, 
Pascal Camia,0,25.0,188.0,86.0,Monaco-2,MON,0,1992,Albertville,Bobsleigh,Bobsleigh Men's Two, 
Bruno De Hesselle,0,18.0,187.0,88.0,Belgium,BEL,1,1960,Roma,Water Polo,Water Polo Men's Water Polo, 
Ro Masivesi Dakuwaqa,0,22.0,190.0,105.0,Fiji,FIJ,1,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
Eric John Camerota,0,21.0,167.0,59.0,United States,USA,0,2006,Torino,Nordic Combined,Nordic Combined Men's Sprint, 
Peter Becker,0,20.0,190.0,90.0,West Germany,FRG,1,1976,Montreal,Rowing,Rowing Men's Double Sculls, 
Hugh Fisher,0,28.0,183.0,83.0,Canada,CAN,1,1984,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Cho Sheng-Ling,0,19.0,171.0,72.0,Chinese Taipei,TPE,1,1996,Atlanta,Archery,Archery Men's Team, 
Michel Dessureault,0,27.0,191.0,87.0,Canada,CAN,1,1984,Los Angeles,Fencing,"Fencing Men's epee, Individual", 
Igor Cassina,0,26.0,180.0,73.0,Italy,ITA,1,2004,Athina,Gymnastics,Gymnastics Men's Individual All-Around, 
Dominique Margaux Dawes (-Thompson),0,15.0,158.0,54.0,United States,USA,1,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars, 
Ion Cosma,0,23.0,180.0,82.0,Romania,ROU,1,1960,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial, 
Ahmed bin Hasher Al-Maktoum,0,40.0,175.0,67.0,United Arab Emirates,UAE,1,2004,Athina,Shooting,Shooting Men's Double Trap,Gold
Jos Guilherme Ferreira do Couto,0,18.0,192.0,82.0,Portugal,POR,1,1996,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke, 
Paul Azuka Emordi,0,18.0,189.0,80.0,Nigeria,NGR,1,1984,Los Angeles,Athletics,Athletics Men's Triple Jump, 
Martina Dubovsk,0,21.0,174.0,72.0,Czech Republic,CZE,0,2014,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom, 
Alessandro Calvi,0,21.0,197.0,75.0,Italy,ITA,1,2004,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay, 
Adriana Faviola Corona Garca,0,28.0,170.0,60.0,Mexico,MEX,1,2008,Beijing,Triathlon,Triathlon Women's Olympic Distance, 
Nicole Di Salvio,0,24.0,173.0,80.0,Italy,ITA,1,2004,Athina,Softball,Softball Women's Softball, 
Maria Conceio da Costa Ferreira,0,34.0,148.0,40.0,Portugal,POR,1,1996,Atlanta,Athletics,"Athletics Women's 10,000 metres", 
Brigitte Becue,0,15.0,162.0,55.0,Belgium,BEL,1,1988,Seoul,Swimming,Swimming Women's 100 metres Breaststroke, 
Custdio Ribeiro Ezequiel,0,38.0,171.0,80.0,Portugal,POR,1,2000,Sydney,Shooting,Shooting Men's Trap, 
Moreno Boer,0,23.0,180.0,105.0,Italy,ITA,1,2000,Sydney,Weightlifting,Weightlifting Men's Heavyweight, 
"Albert ""Albie"" Axelrod",0,43.0,183.0,86.0,United States,USA,1,1964,Tokyo,Fencing,"Fencing Men's Foil, Individual", 
Arne Bergodd,0,24.0,190.0,84.0,Norway,NOR,1,1972,Munich,Rowing,Rowing Men's Coxed Pairs, 
Michael John Belcourt,0,27.0,188.0,70.0,Canada,CAN,1,1992,Barcelona,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres", 
Nataliya Filimonovna Bestemyanova (-Bobrina),0,24.0,170.0,51.0,Soviet Union-1,URS,0,1984,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Cha Kwang-Su,0,29.0,164.0,55.0,North Korea,PRK,1,2008,Beijing,Wrestling,"Wrestling Men's Featherweight, Greco-Roman", 
Meike Evers,0,27.0,185.0,76.0,Germany,GER,1,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Sergey Vladimirovich Bolshakov,0,24.0,190.0,90.0,Russia,RUS,1,2012,London,Swimming,Swimming Men's 10 kilometres Open Water, 
Elena Carrin de la Lastra,0,30.0,160.0,65.0,Spain,ESP,1,2000,Sydney,Hockey,Hockey Women's Hockey, 
Philipp Crone,0,23.0,173.0,82.0,Germany,GER,1,2000,Sydney,Hockey,Hockey Men's Hockey, 
John Luke Vaughan Carter,0,24.0,186.0,84.0,New Zealand,NZL,1,1984,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy, 
Natalia Barbara Czerwonka,0,21.0,177.0,70.0,Poland,POL,0,2010,Vancouver,Speed Skating,"Speed Skating Women's 1,500 metres", 
Tegegne Bezabeh,0,30.0,183.0,65.0,Ethiopia,ETH,1,1972,Munich,Athletics,Athletics Men's 4 x 400 metres Relay, 
Adolfo Belmonte Heredia,0,19.0,182.0,70.0,Mexico,MEX,1,1964,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial, 
Khaled Anwar Al-Awadhi,0,24.0,170.0,61.0,Kuwait,KUW,1,1988,Seoul,Fencing,"Fencing Men's Foil, Individual", 
Dominic Demschar,0,20.0,176.0,75.0,Australia,AUS,0,2014,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom, 
Aimo Antero Aho,0,29.0,186.0,91.5,Finland,FIN,1,1980,Moskva,Athletics,Athletics Men's Javelin Throw, 
Lyudmila Grudeva Andonova (Zhecheva-),0,28.0,177.0,60.0,Bulgaria,BUL,1,1988,Seoul,Athletics,Athletics Women's High Jump, 
Thomas Alsgaard (Alsgrd-),0,22.0,190.0,82.0,Norway,NOR,0,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Luk Baba,0,19.0,183.0,70.0,Slovakia,SVK,1,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls, 
Ilie Bria,0,16.0,178.0,64.0,Moldova,MDA,0,2006,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint, 
Roger Federer,0,30.0,185.0,80.0,Switzerland,SUI,1,2012,London,Tennis,Tennis Men's Singles,Silver
Grant Michael Cashmore,0,35.0,185.0,76.0,New Zealand,NZL,1,2004,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual", 
Fabrizia D'Ottavio,0,19.0,173.0,52.0,Italy,ITA,1,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Sylvie Becaert,0,34.0,166.0,54.0,France,FRA,0,2010,Vancouver,Biathlon,Biathlon Women's 15 kilometres, 
"Walton Glenn Eller, III",0,26.0,188.0,82.0,United States,USA,1,2008,Beijing,Shooting,Shooting Men's Double Trap,Gold
Kathrin Boron (-Kppen),0,38.0,184.0,77.0,Germany,GER,1,2008,Beijing,Rowing,Rowing Women's Quadruple Sculls,Bronze
Alice Fagioli,0,28.0,170.0,62.0,Italy,ITA,1,2008,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres", 
"Jan Justus ""Jan-Just"" Bos",0,21.0,168.0,49.0,Netherlands,NED,1,1960,Roma,Rowing,Rowing Men's Coxed Pairs, 
Saeed Anwar,0,20.0,170.0,71.0,Pakistan,PAK,1,1964,Tokyo,Hockey,Hockey Men's Hockey,Silver
Feng Xiaoting,0,22.0,186.0,81.0,China,CHN,1,2008,Beijing,Football,Football Men's Football, 
Jnos Dzvonyr,0,19.0,181.0,69.0,Hungary,HUN,1,1980,Moskva,Swimming,Swimming Men's 100 metres Breaststroke, 
"Harold Boyce Budd, Jr.",0,25.0,191.0,93.0,United States,USA,1,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
Lszl Fbin,0,25.0,194.0,74.0,Hungary,HUN,1,1988,Seoul,Fencing,"Fencing Men's epee, Team", 
Craig John Agena,0,23.0,170.0,66.0,United States,USA,1,1984,Los Angeles,Judo,Judo Men's Half-Lightweight, 
Berndt Ingemar Andersson,0,24.0,183.0,79.0,Sweden,SWE,1,1976,Montreal,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres", 
Joy Amechi Eze,0,20.0,165.0,64.0,Nigeria,NGR,1,2008,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay, 
Jol Georges Chenal Jacquet,0,24.0,177.0,78.0,France,FRA,0,1998,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom, 
Kristian Brenden,0,21.0,188.0,74.0,Norway,NOR,0,1998,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual", 
Pavel Churav,0,32.0,179.0,69.0,Czech Republic,CZE,0,2010,Vancouver,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual", 
Ivan Viktorovich Fesenko,0,24.0,169.0,60.0,Russia,RUS,0,2006,Torino,Nordic Combined,Nordic Combined Men's Team, 
Rocco Roberto Amboni,0,24.0,167.0,62.0,Italy,ITA,1,1984,Los Angeles,Gymnastics,Gymnastics Men's Pommelled Horse, 
"Frederick Stoddard ""Rick"" Chaffee, II",0,23.0,178.0,73.0,United States,USA,0,1968,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom, 
Abdoulaye Djiba,0,34.0,183.0,89.0,Senegal,SEN,1,1972,Munich,Judo,Judo Men's Open Class, 
Kyriaki Firinidou,0,15.0,155.0,42.0,Greece,GRE,1,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault, 
Jos Manuel Chandri,0,29.0,185.0,93.0,Puerto Rico,PUR,1,1976,Montreal,Judo,Judo Men's Heavyweight, 
Mihly Dek-Brdos,0,37.0,195.0,120.0,Hungary,HUN,1,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman", 
"Pierre Durand, Sr.",0,28.0,174.0,62.0,France,FRA,1,1960,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual", 
"John McKenzie ""Jack"" Downey",0,35.0,170.0,83.0,Naiad,AUS,1,1956,Melbourne,Sailing,Sailing Mixed Two Person Keelboat, 
Sally Conway,0,29.0,167.0,70.0,Great Britain,GBR,1,2016,Rio de Janeiro,Judo,Judo Women's Middleweight,Bronze
Cheng Jiaru,0,19.0,179.0,66.0,China,CHN,1,2004,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay, 
Lynn Davies,0,22.0,185.0,77.0,Great Britain,GBR,1,1964,Tokyo,Athletics,Athletics Men's Long Jump,Gold
"Jacqueline Lois Elizabeth ""Jackie"" Edwards",0,37.0,173.0,64.0,Bahamas,BAH,1,2008,Beijing,Athletics,Athletics Women's Long Jump, 
Cristiana Cascioli,0,29.0,170.0,60.0,Italy,ITA,1,2004,Athina,Fencing,"Fencing Women's epee, Individual", 
Daniela Alves Lima,0,24.0,171.0,66.0,Brazil,BRA,1,2008,Beijing,Football,Football Women's Football,Silver
Allan Spencer Coulter,0,32.0,192.0,86.0,Canada,CAN,1,1992,Barcelona,Volleyball,Volleyball Men's Volleyball, 
Fabio Carta,0,24.0,172.0,74.0,Italy,ITA,0,2002,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres", 
Sandra Dimbour,0,30.0,172.0,68.0,France,FRA,1,2000,Sydney,Badminton,Badminton Women's Singles, 
Maurilio De Zolt Lisabetta,0,33.0,170.0,66.0,Italy,ITA,0,1984,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres, 
Edgar Eckert,0,24.0,172.0,68.0,West Germany,FRG,0,1972,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres, 
Tamara Esteri Almeida,0,34.0,176.0,66.0,Cuba,CUB,1,2000,Sydney,Fencing,"Fencing Women's epee, Team", 
Choi Se-Beom,0,16.0,160.0,44.0,South Korea,KOR,1,1988,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay, 
Aileen Convery,0,19.0,175.0,69.0,Ireland,IRL,1,1988,Seoul,Swimming,Swimming Women's 100 metres Backstroke, 
Jean-Jacques Behm,0,22.0,185.0,76.0,France,FRA,1,1964,Tokyo,Athletics,Athletics Men's 400 metres Hurdles, 
Souad At Salem (-Mahour-Bacha),0,25.0,158.0,50.0,Algeria,ALG,1,2004,Athina,Athletics,"Athletics Women's 10,000 metres", 
Sanna Abubkheet,0,19.0,157.0,52.0,Palestine,PLE,1,2004,Athina,Athletics,Athletics Women's 800 metres, 
Bruno Banzer,0,25.0,173.0,65.0,Liechtenstein,LIE,1,1972,Munich,Gymnastics,Gymnastics Men's Rings, 
Valeriy Volodymyrovych Dymo,0,22.0,175.0,70.0,Ukraine,UKR,1,2008,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay, 
Hugo Dietsche,0,25.0,165.0,68.0,Switzerland,SUI,1,1988,Seoul,Wrestling,"Wrestling Men's Featherweight, Greco-Roman", 
Jean-Paul Banos,0,23.0,182.0,75.0,Canada,CAN,1,1984,Los Angeles,Fencing,"Fencing Men's Sabre, Individual", 
Leila Abdelmoez,0,19.0,160.0,46.0,Egypt,EGY,1,2016,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team, 
Anni Biss (-Kildeberg),0,27.0,170.0,58.0,Denmark,DEN,1,1996,Atlanta,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres", 
Jos Luis Caballero Flores,0,21.0,170.0,63.0,Mexico,MEX,1,1976,Montreal,Football,Football Men's Football, 
Johan Niklas Edin,0,24.0,171.0,80.0,Sweden,SWE,0,2010,Vancouver,Curling,Curling Men's Curling, 
Cristin Alfredo Escalante Carroza,0,19.0,174.0,125.0,Chile,CHI,1,1996,Atlanta,Weightlifting,Weightlifting Men's Heavyweight I, 
Inha Alvidasivna Babakova (Butkus-),0,37.0,180.0,60.0,Ukraine,UKR,1,2004,Athina,Athletics,Athletics Women's High Jump, 
John Cameron Cullen,0,27.0,173.0,67.0,New Zealand,NZL,1,1964,Tokyo,Hockey,Hockey Men's Hockey, 
Dola Banerjee,0,28.0,162.0,69.0,India,IND,1,2008,Beijing,Archery,Archery Women's Individual, 
Adnan Ahmed,0,26.0,174.0,70.0,Egypt,EGY,1,2004,Athina,Hockey,Hockey Men's Hockey, 
Vclav Chalupa,0,29.0,186.0,96.0,Czechoslovakia,TCH,1,1964,Tokyo,Rowing,Rowing Men's Coxed Pairs, 
Denis Mikhaylovich Ablyazin,0,19.0,161.0,62.0,Russia,RUS,1,2012,London,Gymnastics,Gymnastics Men's Parallel Bars, 
Tom Bauer,0,27.0,175.0,79.0,Czechoslovakia,TCH,1,1960,Roma,Diving,Diving Men's Springboard, 
"Matthew J. ""Matt"" Cetlinski",0,23.0,183.0,73.0,United States,USA,1,1988,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle", 
Milkessa Chalchisa,0,31.0,162.0,79.0,Ethiopia,ETH,1,1980,Moskva,Athletics,Athletics Men's Javelin Throw, 
Juliane Linda Bray,0,30.0,167.0,70.0,New Zealand,NZL,0,2006,Torino,Snowboarding,Snowboarding Women's Boardercross, 
Marvin Julian Campbell,0,31.0,173.0,73.0,Great Britain,GBR,1,1992,Barcelona,Gymnastics,Gymnastics Men's Horizontal Bar, 
Shiny Kurisingal Abraham-Wilson,0,23.0,167.0,53.0,India,IND,1,1988,Seoul,Athletics,Athletics Women's 800 metres, 
Stefano Desideri,0,23.0,178.0,72.0,Italy,ITA,1,1988,Seoul,Football,Football Men's Football, 
Max Brhwiler,0,24.0,163.0,59.0,Switzerland,SUI,1,1972,Munich,Gymnastics,Gymnastics Men's Rings, 
Elizabeth Bradley,0,27.0,185.0,64.0,United States,USA,1,1988,Seoul,Rowing,Rowing Women's Coxed Fours, 
Jonty Evans,0,44.0,193.0,82.0,Ireland,IRL,1,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team", 
James Lee Ellington,0,26.0,179.0,81.0,Great Britain,GBR,1,2012,London,Athletics,Athletics Men's 200 metres, 
Javier Cienfuegos Pinilla,0,26.0,187.0,110.0,Spain,ESP,1,2016,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw, 
Rvn Bayramov,0,29.0,160.0,59.0,Azerbaijan,AZE,1,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Greco-Roman", 
"Ricardo ""Ricky"" Calzada Benoit",0,18.0,185.0,75.0,Puerto Rico,PUR,1,1972,Munich,Basketball,Basketball Men's Basketball, 
Wakako Abe,0,18.0,168.0,60.0,Japan,JPN,1,1984,Los Angeles,Cycling,"Cycling Women's Road Race, Individual", 
Teresita Natvidad Collado Ramos,0,28.0,158.0,49.0,Guatemala,GUA,1,2000,Sydney,Athletics,Athletics Women's 20 kilometres Walk, 
Klra Engi,0,24.0,165.0,53.0,Hungary-1,HUN,0,1992,Albertville,Figure Skating,Figure Skating Mixed Ice Dancing, 
Nikolay Serafimovich Bazhukov,0,22.0,175.0,70.0,Soviet Union,URS,0,1976,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
Udo Beyer,0,20.0,195.0,135.0,East Germany,GDR,1,1976,Montreal,Athletics,Athletics Men's Shot Put,Gold
Howard Fenton,0,20.0,170.0,63.0,Jamaica,JAM,1,1972,Munich,Cycling,"Cycling Men's Road Race, Individual", 
Noel J. Carroll,0,26.0,188.0,79.0,Ireland,IRL,1,1968,Mexico City,Athletics,Athletics Men's 400 metres, 
"Robert Bowlby ""Rob"" Blake",0,28.0,193.0,102.0,Canada,CAN,0,1998,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey, 
Laurent Cadot,0,24.0,194.0,82.0,France,FRA,1,2008,Beijing,Rowing,Rowing Men's Coxless Pairs, 
Choi Myeong-Jin,0,32.0,174.0,62.0,South Korea,KOR,1,1988,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team", 
John Aalberg,0,31.0,183.0,72.0,United States,USA,0,1992,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres, 
Jerry Dino,0,23.0,157.0,58.0,Philippines,PHI,1,1988,Seoul,Judo,Judo Men's Extra-Lightweight, 
David Andrew Vincent Faulkner,0,26.0,182.0,73.0,Great Britain,GBR,1,1988,Seoul,Hockey,Hockey Men's Hockey,Gold
Ferenc Csipes,0,27.0,183.0,90.0,Hungary,HUN,1,1992,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres", 
"Michael Lee ""Mike"" Bruner",0,19.0,179.0,73.0,United States,USA,1,1976,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"Herbert Clifford ""Bert"" Bouffler",0,27.0,183.0,71.0,Great Britain,GBR,1,1908,London,Cycling,Cycling Men's 20 kilometres, 
Scott Thomas Dawes,0,24.0,178.0,74.0,Australia,AUS,1,1996,Atlanta,Baseball,Baseball Men's Baseball, 
"Joseph ""Jos"" Broeckx",0,24.0,185.0,76.0,Belgium,BEL,1,1976,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres", 
Victor Alexander Feddersen,0,32.0,179.0,71.0,Denmark,DEN,1,2000,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Stoyan Delchev,0,17.0,162.0,56.0,Bulgaria,BUL,1,1976,Montreal,Gymnastics,Gymnastics Men's Rings, 
Suzanne Farmer-Allday (-Goodison),0,21.0,176.0,69.0,Great Britain,GBR,1,1956,Melbourne,Athletics,Athletics Women's Discus Throw, 
"Frdrik Edouard Robert ""Fred"" Deburghgraeve",0,23.0,176.0,61.0,Belgium,BEL,1,1996,Atlanta,Swimming,Swimming Men's 200 metres Breaststroke, 
Dana Brdlov,0,16.0,144.0,40.0,Czechoslovakia,TCH,1,1980,Moskva,Gymnastics,Gymnastics Women's Team All-Around, 
Paul Buganey,0,23.0,178.0,80.0,Australia,AUS,1,1976,Montreal,Judo,Judo Men's Middleweight, 
Monika Beer,0,15.0,164.0,50.0,Switzerland,SUI,1,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise, 
Rnar (Ruslan-) Alexandersson (Ovtinnikov-),0,19.0,171.0,63.0,Iceland,ISL,1,1996,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around, 
"Patrick ""Pat"" Dwyer",0,22.0,186.0,81.0,Australia,AUS,1,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay, 
Myke Michel Ribeiro de Carvalho,0,24.0,182.0,69.0,Brazil,BRA,1,2008,Beijing,Boxing,Boxing Men's Light-Welterweight, 
Sultan A. B. S. S. Al-Otaibi,0,26.0,173.0,73.0,Kuwait,KUW,1,1996,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley, 
Csaba Csutors,0,22.0,186.0,84.0,Hungary,HUN,1,1960,Roma,Athletics,Athletics Men's 400 metres, 
Aleksey Aleksandrovich Alipov,0,25.0,175.0,80.0,Russia,RUS,1,2000,Sydney,Shooting,Shooting Men's Double Trap, 
Stephan Eberharter,0,28.0,180.0,85.0,Austria,AUT,0,1998,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
"Anton ""Toni"" Bhler",0,50.0,177.0,75.0,Switzerland,SUI,1,1972,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual", 
Hans Diethelm,0,26.0,179.0,73.0,Switzerland,SUI,0,1994,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres, 
Toyofumi Aruga,0,21.0,169.0,64.0,Japan,JPN,0,1964,Innsbruck,Speed Skating,"Speed Skating Men's 10,000 metres", 
Janet Marie Dicks,0,19.0,168.0,65.0,United States,USA,1,1952,Helsinki,Athletics,Athletics Women's Shot Put, 
Nicola Drocco,0,31.0,178.0,73.0,Italy,ITA,0,2010,Vancouver,Skeleton,Skeleton Men's Skeleton, 
Bernd Drogan,0,24.0,181.0,69.0,East Germany,GDR,1,1980,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
"Nathaniel Hopkins ""Neil"" Blatchford, IV",0,26.0,183.0,80.0,United States,USA,0,1972,Sapporo,Speed Skating,Speed Skating Men's 500 metres, 
Logan Perry Cunningham,0,25.0,175.0,73.0,United States,USA,1,2016,Rio de Janeiro,Athletics,Athletics Men's Pole Vault, 
